USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4763001,67216308-5B2C-4CF7-B578-EFB392F8A8CE,E93072ED-07B4-40CB-A22E-8689663CB0FB,4AA523AA-163E-460A-BA6B-20C2D25E057D,1,0.020351141,0.71,0.501,0.022,0.158,0.024,0.113,0.774,1.0926,0.061,0.003,0.001,0.002,0
4769001,C7C1092B-CD28-49C8-BB7F-F8246CFD26E9,DC5A3A0C-103A-4DAB-BB2C-716F949681A7,051997C9-EA95-417D-BABB-B1A5F6F687FA,1,0.022926245,0.743,0.63,0.042,0.312,0.007,0.181,0.54,1.0802,0.04,0,0.002,0.01,0.063
4772003,4190F3B9-E758-4545-B2FC-2404E6175E33,E9B3B278-A309-4422-BA79-420A31E99998,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.062855837,0.75,0.585,0.03,0.35,0.004,0.319,0.611,1.0784,0.274,0,0,0.004,0
4749,CA7F8CEB-F26D-46D9-BD9B-1C63D5F0B665,919617AB-1B2B-434D-85B9-9634D6B634AA,2534CBD7-4F2B-4B48-BD85-D72F0931C79F,0,0.344461427,0.81,0.647,0.057,0.287,0.004,0.144,0.79,1.077,0.038,0,0,0.036,0
4750,45899875-A545-4D2F-A04E-122C454B3C04,DF5AC926-F69B-4FBD-9DC9-2E97CE300BEF,7F20DBB5-6DF0-43EF-A1EF-7F866C64E166,0,0.31280146,0.784,0.621,0.029,0.301,0.018,0.181,0.618,1.08,0.121,0,0.007,0.006,0
4751,92312BBF-8283-4BFB-B87A-36D338C8144D,A61EF0D6-AB5A-4512-838F-54D7CADF069C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.459232985,0.66,0.633,0.047,0.318,0.013,0.149,0.752,1.0886,0.082,0,0.001,0.007,0
4752,9A8E8308-CF84-435A-B7B9-4249804BE0F0,9D0EB918-85DE-45A8-9141-60D12D817A01,4AA523AA-163E-460A-BA6B-20C2D25E057D,0,0.428491942,0.623,0.567,0.024,0.173,0.014,0.085,0.826,1.0885,0.034,0.003,0.001,0.005,0
4753,3A6268D5-FAA8-4DEA-8458-42F7266DEA16,E4E88B83-95D4-4E47-B7E4-1E94060DA50A,7AB433AC-A76D-4162-BCE7-AD20723AE24C,0,0.534019866,0.758,0.599,0.038,0.287,0.013,0.183,0.734,1.0774,0.068,0,0.003,0.059,0
4754,238BEBEB-9C23-485C-BE56-79F643C8F1BE,EE3F34D4-28EF-4B86-ACAB-D5FFC5A07028,00C6123F-413E-4BDB-9E83-8DE289DD0F8E,0,0.43931626,0.741,0.661,0.042,0.34,0.015,0.146,0.782,1.0846,0.08,0,0.003,0.015,0
4755,EC885722-7474-44A2-8AC0-C538CA7CB3C4,4E3D8861-FC24-4A91-B2CE-4ED027DB132D,051997C9-EA95-417D-BABB-B1A5F6F687FA,0,0.578518018,0.764,0.637,0.057,0.245,0.006,0.129,0.786,1.0791,0.052,0,0.001,0.009,0
